广州

不锈钢 0  供应压力显著，价格存在回调压力
焦煤 1  焦煤/焦炭：【现货和基差】山东港口准一现汇1880上下，仓单成本2067左右，与主力合约基差-168；吕梁准一报价1520，仓单成本1881，与主力合约基差-354；山西中硫主焦报价1750，仓单价格1550，与主力合约基差-196，蒙5#原煤口岸报价1310，仓单价格1610，与主力合约基差-136。澳煤低挥发报价269美元，仓单价格1816，与主力合约基差+70。【基本面】焦炭基本面有所改善，市场情绪快速升温，焦企开启首轮提涨100—110元/吨，部分已落地。钢材现货价格近日再度上涨，市场成交情绪明显有好转，供应端出货情况有所改善，日耗增加，对原料采购积极性有所提升。焦企因利润亏损整体开工低位运行，但部分投机进场拿货，钢厂即期利润修复，随着高炉复产，刚需回升，市场看涨预期增长。焦煤市场情绪有所回温，加上焦企看涨预期增强，参与者看稳意见增多，成交活跃度增加，焦煤供应持续增量，低价煤种成交较好。近两日，口岸市场情绪有好转，下游询货增加，目前蒙5原煤1280—1310元/吨左右，环比增长30—60元/吨。投机情绪好转，钢厂复产意愿转强，盘面走向正反馈，短期震荡偏强。策略建议:短期维持震荡偏强思路。
铁矿 0.7  铁矿石：【现货价格】04/16日照，56.5%超特686，降14；61.5%PB粉844，降17；65%卡粉963不变。【现货成交】04/15全国主港铁矿累计成交92.3万吨,环比下降11%。【钢联发运】04/08钢联数据显示全球铁矿石发运总量2392万吨，环比降854万吨。澳洲巴西19港铁矿发运总量1919万吨，环比降775万吨；澳洲发运量1447万吨，环比减少408万吨，其中澳洲发往中国的量1164万吨，环比减少356万吨。巴西发运量473万吨，环比减少367万吨。非澳巴发运量473万吨，环比减少79万吨。【港口库存】04/1145港总库存为14487万吨，环比增35万吨。日均疏港302.15万吨增10.84万吨。按各分类统计，澳矿6088.05万吨增83.67万吨，巴西矿5144.41万吨降76.47万吨，贸易矿8814.73万吨增83.25万吨，球团737.45万吨降21.02万吨，精粉1303.22万吨降45.81万吨，块矿1778.94万吨降19.38万吨。在港船舶数108条，减少8条。【小结】今日山东进口铁矿石现货市场价格偏弱运行，成交一般。具体来看，现货市场交投情绪一般，贸易商报价积极性尚可，部分钢厂按需补库为主。与此同时，今日山东区域市场交投情绪一般，卖盘方面，贸易商报价积极性尚可，远月市场询报情绪尚可，4月底、8月底PB粉较为活跃；买盘方面，区域内钢厂维持低库存运行，个别钢厂有招标计划，询盘较少。期货市场，连铁i2409午盘收于826.0，较前一个交易日结算价跌1.49%，成交57万手，减仓0.9万手。近期澳洲和巴西的天气扰动对供给端影响不大，未见到大范围减产，需求端仍需参考钢厂利润恢复程度和采购动作活跃度，预计现货价格将震荡偏弱运行，期货价格上涨动力不够明显，处于震荡调整期。合金：72硅铁：陕西6050-6100（涨25），宁夏6150-6250，青海6150-6200（涨25），甘肃6100-6200，内蒙6150-6250（涨50）（现金含税自然块出厂，元/吨）硅锰6517宁夏、内蒙报价5850-5900元/吨；南方报价5950-6000元/吨，涨50（现金出厂含税报价，元/吨）。市场逻辑：黑色近日快速拉涨目前高位震荡小幅回调，投机情绪谨慎，双硅日内窄幅震荡。供需上4月钢招步入尾声需求趋弱后，主产区开工近期有一定恢复使得前期趋紧的供需格局陆续转为趋松；成本支撑看，硅铁成本保持稳定，硅锰成本则受锰矿和化工焦挺价影响而被动上行，下游需求承接乏力。综合看来，合金的供需基本面在黑色板块中偏差，并且钢招需求集中释放已接近尾声，接下来需求处于边际走弱阶段，不过合金得成本下方空间极为有限因为化工焦仍有跟随冶金焦2-3轮调涨的预期，叠加澳矿发运不可抗力存在延续至6月的可能性，不过当前盘面升水现货仓单，且盘面拉涨的同时现货实际出厂价格并没有跟随盘面大幅上涨，产业的情绪仍旧偏向悲观，随着宁夏部分合金厂近期复产的意向，盘面利润将增加产业套保意愿，因此建议近月仍以逢高做空为主，逢深度回调可逢低布局远月锰硅多单。◆◆有色金属◆◆
铜 0.7  沪铜（2406）：【现货市场信息】SMM1#电解铜均价76800元/吨，+580，升贴水-200；洋山铜溢价(仓单)24美元/吨。【价格走势】昨日伦铜3月合约，-0.98%，隔夜沪铜主力合约，-0.51%。【投资逻辑】宏观上，美国非农数据及CPI等数据显示通胀韧性较强，降息预期再次延后，降息预期次数将为两次，提振美元指数，对铜价形成一定利空，且市场对此未充分计价；国内公布的出口及社融等数据低于预期，与高基数有关，二季度财政或将发力，加上政策逐步落地，后续经济重心仍将继续回升。供应上，TC走低放缓，二季度集中检修量较大，但具体到4月份，减量或有限；需求上，库存累库仍未有结束迹象，铜价大涨后下游接货意愿较低，负反馈到铜杆等企业，精废价差扩大也拖累精铜消费；随着检修开始，需求恢复，库存或将开始明显去化，但也要关注库存去化不及预期的风险。基金持仓上，当前净多持仓超过去年初位置。【投资策略】宏观驱动有所弱化，微观需求仍偏弱，短期或需整固，中长期仍以逢低多配为主。
锡 0.7  沪锡（2405）：【现货市场信息】SMM1#锡均价256000元/吨，+3250；云南40%锡矿加工费16000元/吨，+1000。【价格走势】昨日伦锡3月合约，-1.29%，沪锡主力合约，-0.94%。【投资逻辑】近期锡跟随铜走势，也是突破大涨，资金也是关注到锡矿中长期扰动明显，印尼出口有限、以及需求预期良好等，预期交易为主。现实来看，国内锡矿加工费小幅上调，现实短期供应尚可，冶炼4月份产量仍较高，国内社会库存继续走高，价格大涨后抑制消费。不过海外库存持续下降，已经转变为反向市场结构，与印尼出口受限所致，这也会支撑锡价。接下来，佤邦锡矿复产、印尼出口量级恢复、消费恢复情况等都将逐步明朗，密切关注变化，资金或将转向现实交易。【投资策略】市场情绪亢奋，但需求较弱，短线多单可考虑逢高减仓，长线依旧保持逢低多配思路。
铝 0  沪铝（2406）：【现货市场信息】上海地区铝锭现货价格20240-20280元/吨，现货贴水80元/吨，广东90铝棒加工费290元/吨【价格走势】沪铝价格收盘于20320元/吨，氧化铝收盘于3473元/吨，伦铝收盘于2559.5美元/吨。【投资逻辑】LME对俄铝进行制裁限制后期仓单注册，消息开盘拉涨后快速回落，多头获利止盈。国内供应方面，云南电力供应过剩电解铝企业或在3月份开始复产，可复产规模70万吨左右，但云南今年面临干旱，铝厂复产较为谨慎截至4月底复产规模或仅有20万吨，剩余仍需等到丰水期。消费开始复苏，但复苏节奏缓慢，清明节期间铝锭铝棒库存再次累积，清明节后去库依旧缓慢，铝棒加工费疲软。氧化铝现货价格止跌持稳，但当下供应小幅过剩局面依旧，价格突然拉涨为资金行为，仍可作为空配品种。【投资策略】电解铝可谨慎参与多单，氧化铝多观望。
工业硅 -0.7  硅（2406）：【现货市场信息】华东地区通氧553#价格13200-13300元/吨；421#价格13900-14100元/吨；昆明通氧553#价格13300-13500元/吨；421#价格13900-14000元/吨。【价格走势】广期所工业硅价格收盘于11955元/吨。【投资逻辑】供应端，硅厂利润依旧承压，新疆地区硅厂出现主动减产，南方即将进入丰水期但复产意愿不佳，供给端的减少量依旧不足难以扭转供需格局，库存仍在持续增加。成本方面，电价处于平稳阶段，折算盘面利润新疆出现亏损生产意愿减弱。消费方面，多晶硅保持平稳增长，但库存也持续增加，粉厂接货意愿不强，招标价格偏弱；有机硅行业再次面临亏损，产量减少库存增加；合金行业消费开始复苏。市场情绪普遍悲观，价格难寻支撑。周末行业迎来交割新规于12月执行，升水的下调和微量元素指标的增加将会提高仓单品质和下游接货意愿，不过当近60万吨的库存依旧难以解决，价格承压难上涨。【投资策略】供应过剩格局持续，工业硅维持逢高布空，对向下空间保持谨慎短线操作。
锌 1  沪锌（2406）：【现货市场信息】0#锌主流成交价集中在22210~22410元/吨，双燕成交于22290~22480元/吨，1#锌主流成交于22140~22340元/吨。【价格走势】隔夜沪锌收于22485元/吨，涨幅0.07%。伦锌收于2756.5美元。【投资逻辑】基本面，海外矿端扰动，锌矿紧缺情况加剧。长单TC较去年有腰斩趋势。矿山利润得以修复，未来需验证锌矿达产的概率是否提高。另外由于目前国内冶炼厂利润过低，随着加工费的继续挤压，冶炼厂利润已然处于倒挂状态，4月精锌产量环比下降2.12万吨至50.43万吨。主因甘肃、新疆地区冶炼厂常规检修，叠加河南、陕西、云南、内蒙等地部分冶炼厂因原料和利润不足检修减产带来一定减量，消费端，高锌价下下游补库意愿压制，国内社库仍处于累积状态，一定程度或制约锌价上涨高度。【投资策略】由于当下需求还不足以支持锌价持续向上突破，警惕价格高位回落风险，但同时警惕LME近月持仓异动对沪锌价格的影响。
铅 -0.5  沪铅（2406）：【现货市场信息】上海市场驰宏、红鹭铅16805-16885元/吨，对沪铅2405合约升水0-80元/吨报价；江浙地区江铜、金德铅16845-16865元/吨，对沪铅2405合约升水40-60元/吨报价。【价格走势】隔夜沪铅收于16890元/吨，跌幅0.39%。伦铅收于2146美元。【投资逻辑】海外矿端扰动增加，铅精矿供应紧张持续。3月湖南、云南、河南、广东等地区铅冶炼企业结束检修，3月电解铅产量有较大的增幅。4月，电解铅冶炼企业检修与恢复并存。主要的检修企业集中在河南，且为大型冶炼企业。再生铅方面，4月废电瓶更换量下滑，再生铅炼厂原料逐渐紧张，采购成本抬升，利润空间收窄或亏损扩大。个别大型再生铅炼厂计划4月下旬停产检修。上期所修订铅锭交割细则，交割等级调整为新国标GB/T469-2023的Pb99.994或者Pb99.996牌号铅锭，对于旧国标铅锭设置一年过渡期，预期影响实质有限。海外小幅去库，海外偏强，国内因交割社会库存增加。需求端，淡季临近。终端铅蓄电池企业开始累库，后续关注下游铅蓄电池企业的减停产情况。【投资策略】警惕累库带来的铅价高位回调风险。
镍 0  沪镍（2405）：【现货市场信息】日内上海SMM金川镍升水1950元/吨（-0），进口镍升水-350元/吨（-0），电击镍升水-1350元/吨（-0）。【市场走势】日内基本金属全线回调，整日沪镍收跌2.85%；隔夜基本金属涨跌互现，沪镍跌1.01%，伦镍收跌0.01%。【投资逻辑】目前镍矿价格持稳，镍铁市场成交价在930元/镍点，国内多数铁厂仍处于亏损状态，维持低产运行；不锈钢库存季节性回落，但去库速度较慢；当前国内镍铁供过于需的格局持续。新能源方面，印尼中间品回流国内量将有所恢复，硫酸镍原料供应偏紧局面略有缓解，同时三元产量同比环比增幅较大，对镍需求拉动。硫酸镍价格回落，折盘面13.67万元/吨。纯镍方面，国内外纯镍持续增库，对镍价形成压制。【投资策略】暂维持区间操作思路，持续防范英美对俄镍制裁给市场带来的情绪波动风险。
燃油 0  燃料油：上周低硫燃料油市场结构持稳，高硫燃料油稍有支撑。低硫方面，运费下降导致来自欧洲的套利货供应量增加，市场供应充足。4月新加坡将从西半球进口约200万-220万吨低硫燃料油，明显高于3月140万-170万吨，新加坡船用燃料现货码头交货升水已跌至超过两年以来的最低水平。高硫方面，贸易商们表示，新加坡地区充足的高硫燃料油供应给上下游市场均带来压力，不过在中东方面，随着夏季用电高峰即将来临，提前备货活动给市场提供了一些支撑。同时，在北亚市场方面，中国舟山港的高硫燃料油销售也在扩大，与中国其他港口相比，舟山地区卖家的报价相当有竞争力。
短纤 0  聚酯:终端开工正常，聚酯开工高位，终端需求正常。总体需求相对健康。
集运 0.7  集运指数：以色列军方发言人称以色列将回击伊朗，并宣布将在以北部地区举行军演，地缘风险持续升级预期叠加马士基、达飞提涨运价提振EC指数继续上行。地缘方面，以色列若一意孤行有可能引发更大范围的战争，对红海区域复航预期的进一步延后，对EC远月合约形成提振。现货报价方面，马士基宣布自4月29日起提涨亚洲到欧洲20GP为1975美元，40英尺GP为3800美元；达飞官宣自5月1日起亚洲至北欧航线的FAK费率：20GP为2200美元，40GP/HC/冷藏箱为4000美元，与4月15日起生效涨价的价格相同。此外，五一长假前国内有集中出货需求以及欧洲补库预期对运价也有一定支撑作用，预计短期EC2406维持震荡偏强的概率较大，策略上前期多单可继续持有。密切关注盘面变化与涨价的实际落地情况。一德期货研究团队：图片编辑：张怡婷审核人：寇宁/Z0002132/投资咨询业务资格：证监许可【2012】38号图片免责声明






倍特

原油 0  操作策略：原油06合约看日内运行区间在656-673，盘面冲高承压短期再度拉高较为困难，不过中东局势不稳定依然限制下行调整的幅度，形态上保持缓慢爬升的状态尚未发生实质性的变化，交易上短线参与为主。
橡胶 1  操作策略：橡胶09合约看日内运行区间在14660-14420，短期盘面拉高回落后尚未出现企稳迹象，不过整体下行空间依然较为有限，虽有短暂下探持续，不过低位仍存走稳预期，关注盘面后期反弹条件出现。
工业硅 0  操作策略：观点及操作策略】现货价格弱稳运行，下游需求尚未改善，市场信心低迷厂家开工积极性减弱，期货价格下探空间有限，短期弱稳运行，日内短线参与。
铜 -1  操作策略：国内经济数据喜忧参半，美短期降息预期减弱美元阶段走强、沪铜库存累积超预期压制铜价。空单参与。
尿素 1  操作策略：9月合约贴水幅度较大，出口利多消息下，基差修复驱动再度站上中短期均线，目前2000一线震荡整理，或进一步上行。
鸡蛋 0  操作策略：期现货两端近期节奏均有变化，低位支撑性和反弹节奏复杂化。目前主力合约为2405~2409，目前为2405~2407合约走势偏弱，但远期合约走势有所不同。2405，2406、2407在节前及节后均保持偏弱运行，昨日再度大跌，显示市场对蛋价远期走势保持谨慎，2405合约围绕3050；2406合约围绕2950，2407围绕3080波动，以上三合约均为低位震荡，日内以低位震荡对待，操作上转向偏低于中轴后日内短多为主。同时，2408~2409昨日亦出现下跌，创近期新低，触底信号消失，目前注意2408、2409合约均围绕3780的震荡过程，日内可以继续轻多尝试。蛋价波动节奏转向为低位震荡过程。需观察新的节奏演化。（来源：倍特期货研发策略团队）图片阅读8倍特期货?写下你的留言人划线
豆粕 -1  操作策略：9粕持仓突破200万手创出新高后，和美盘走势背离加大，夜间交易时段开盘于3380，起初承压3400震荡，但美豆进一步下行引发多头离场，盘面出现大幅波动伴随明显减仓，关注20日均线支撑情况。
菜粕 -1  操作策略：9粕持仓突破200万手创出新高后，和美盘走势背离加大，夜间交易时段开盘于3380，起初承压3400震荡，但美豆进一步下行引发多头离场，盘面出现大幅波动伴随明显减仓，关注20日均线支撑情况。






南华

人民币汇率 0  鲍威尔再挫降息预期【行情回顾】周二，在岸人民币对美元16:30收盘报7.2396，较前一交易日下跌11个基点，夜盘收报7.2380。人民币对美元中间价报7.1028，调贬49个基点。【重要资讯】据国家统计局初步核算，一季度国内生产总值（GDP）296299亿元，按不变价格计算，同比增长5.3%，环比增长1.6%；全国规模以上工业增加值同比增长6.1%；服务业增加值增长5.0%，现代服务业较快增长；社会消费品零售总额120327亿元，增长4.7%；全国固定资产投资（不含农户）100042亿元，增长4.5%；就业形势总体稳定，全国城镇调查失业率平均值为5.2%，同比下降0.3个百分点；全国居民人均可支配收入11539元，同比名义增长6.2%，扣除价格因素实际增长6.2%。【核心逻辑】我们在前期的报告中指出，美元指数若要在2024年开启深跌，需要满足两个条件：一是美联储在货币政策或美国在经济方面的相对优势有所消散，二是全球经济向好。综合考虑我们对上述两个条件在2024年二季度表现的判断，我们认为美元指数在二季度很可能呈现高位震荡状态，没有太多的下行动力。进一步结合近期海外主要国家公布的重要经济数据以及议息会议纪要来看，我们仍然维持上述观点，并认为美元指数在2024年二季度有一定概率出现全年高点，美元兑人民币即期汇率亦是，除非市场对美国的降息预期重回2次以上，或者日央行举动超预期。目前，我们认为美元兑人民币即期汇率短期大概率仍将在高位运行，但大幅上行的动力不足。【操作建议】建议购汇方向观望，结汇方向（7.22上方）可逐步入场【风险提示】中国经济修复不及预期、国内出台政策力度不及预期
股指 -0.3  内外扰动下，股市承压【市场回顾】昨日A股规模指数走势偏强，以沪深300指数为例，收盘下降1.07%。从成交量来看，北向资金净流出27.93亿元；两市成交额回落500.18亿元。期指方面，IF缩量下跌，其余各品种均放量下跌，大盘期指韧性较强。【核心观点】由于新国九条主要为强监管防风险，证监会发布退市意见，相对而言不利于小盘指数，因而小盘指数相对大盘指数偏弱，昨日这一跨品种趋势延续，不过，证监会表示，关于退市的规则修改并不针对小盘股，可关注市场情绪浸提是否能够有所修复。昨日公布一季度GDP数据以及3月经济运行情况数据，从数据来看，尽管一季度整体GDP同比达5.3%，超市场预期，但主要为前期出口、制造业提供拉动力，市场前期也已经有所体现，对于当下盘面指引有限。市场更多的反应3月经济运行整体偏弱，经济预期回落，叠加小盘悲观情绪发酵，股市整体偏弱运行。此外，受地缘政治等因素影响，美元指数上行至106+，对A股也形成一定压力。短期，A股风险偏好情绪低迷，反弹承压。【策略推荐】卖出虚值看涨期权
国债 1  日内再度走平盘面点评：国债期货全天震荡，尾盘全线收涨。至收盘，2年、5、10年小幅收涨，30年大幅上行。资金面宽松，央行在公开市场开展7天逆回购20亿，当日逆回购到期20亿，当日资金零投放零回笼。日内消息：1.工信部发布《减免车辆购置税的新能源汽车车型目录》（第四批），小米SU7、比亚迪海豹、智界S7等在列。2.国家发改委发布消息称，自24时起，国内汽油价格上调200元/吨，柴油价格上调195元/吨。折合升价，92号汽油和0号柴油均上调0.16元，95号汽油上调0.17元。行情研判：今日发布3月和一季度经济数据，其中中国一季度GDP同比5.3%，前值5.2%，一季度环比1.6%，前值1%，表现较好。而消费、投资等分项则较前值有所回落，数据公布后市场迅速给与反馈，TL合约强势上涨，近期有所陡峭化的收益率再度走平。
集运 1  期价震荡上行【盘面回顾】：昨日集运指数（欧线）期货各月合约价格均呈现开盘有所下行，后偏震荡的态势。截至收盘，除EC2404合约外，其余各月合约价格均有所回升。EC2404合约价格降幅为2.14%，收于2172.9点；各月合约中波动幅度最大的是EC2502，价格增幅为9.02%，并收于1719.7点；主力合约持仓量为27860手，较前值有所回落。【重要资讯】：1.据美国《纽约邮报》当地时间15日报道，针对伊朗对以色列军事目标发起的无人机和导弹袭击，以色列已决定“明确而有力地”打击伊朗，并已准备多款战机以执行任务。2.达飞昨日宣涨亚洲到北欧航线的FAK费率：20GP为2200美元，40GP/HC/冷藏箱为4000美元，生效时间为5月1日。【核心逻辑】：近期期价走势还是由战争因素主导，伊朗出手劫持地中海航运（MSC）旗下集装箱船，战争局势升级，现以色列也预计将展开报复。短期内，这一事件性因素都将成为期价的支撑因素。除此之外，马士基和达飞继续宣涨5月运费，对于期价又有一定支撑。故近两日期价总体偏上行。从基本面来看，3月中国外需与制造业PMI走势有一定背离——中国出口至欧盟贸易额虽较2月有所增长，但较去年同期下降了14.94%，说明需求端还是不容乐观。而目前供应端，即集运运力目前总体仍偏快速增长。短期内，期价因伊朗事件还有一定上行空间。值得注意的是，昨日4月合约走势之所以开盘有较大下滑应与基差收敛相关。【策略观点】建议4-6合约反套或远月轻仓择时做多。重要声明：以上内容及观点仅供参考，不构成任何投资建议！据此操作，盈亏自负！
铜 -0.7  小幅回落，短期或触顶【盘面回顾】沪铜主力期货在周二小幅回落，报收在7.67万元每吨附近，上海有色现货贴水200元每吨，升贴水波动较大。【产业表现】据外媒4月15日消息，过去几周的上涨是由中国冶炼厂承诺减产5%-10%引发的。最新的卫星数据似乎显示，中国所谓的铜冶炼厂采购小组成员正在兑现这些承诺。Earth-i全球铜监测指数的最新数据显示，中国冶炼厂一季度闲置率平均上升至8.5%，而2023年第一季度为4.1%，去年同期为4%。其中今年3月中国的闲置率达到9%，将全球的闲置率提高到近18%。Earth-i指出，在3月的最后几天，中国的不活跃程度急剧上升，这表明CSPT成员的行动可能产生影响，根据这家英国公司的数据，3月底中国的不活跃程度为12.8%。【核心逻辑】近期铜价走强背后的主要推手来自宏观。可以看到，在过去的近10个交易日，贵金属价格飙升，金价一度触及570元每克，原油价格受到地缘政治的影响也出现上涨。宏观实质并未改变，宏观预期有所变化，投资者对于高企的大宗商品价格出现担忧，美联储在年内的降息时间不断后推，甚至有不降息的声音传出。基本面，铜矿现货TC已经跌至4.1美元每吨，几乎没有参考价值。下游基本面保持良好，铜中下游粗加工品的开工率有所回升。从资金面上看，尽管上期所已经出台了相关的成交限制，沪铜持仓仍高达60万手。本周，铜价或在高位寻找顶部的确切位置。从绝对水平上，铜价至少存在3000元每吨的受宏观预期导致的上涨，该部分会随着宏观情绪的稳定而回落。而且，高铜价不利于下游消费。若铜价继续维持在7.7万元每吨超过2周，相信中下游企业开工率会有所回落。【策略观点】寻找顶部位置，周运行区间7.48万-7.78万元每吨。
锌 0  大幅回调，寻找价格重心【盘面回顾】沪锌2405合约收于22280元/吨，夜盘收于22485元/吨后。【产业表现】1、3月锌精矿产量29万吨，同比降1.96%，1-3月累计产量81.4万吨，累计同比增1.26%，4月将进入季节性复产，4月产量SMM预计为31.86万金属吨，环比预计增9.86%。国产TC3500元/金属吨，进口TC50美元/金属吨，周环比持平；锌精矿进口利润-596元/金属吨，环比下跌504元/吨。冶炼厂原料库存依然偏低，矿端紧张格局未变。2、3月锌锭产量52.6万吨，同比减少6.61%，1-3月产量总计159.5万吨，累计同比增1.63%万吨。4月产量预计为50.4万吨，环比减少4.03%，同比减少6.61%。理论冶炼利润约-310元/吨，较上期上涨212元/吨，锌价强势上涨带来28分成部分利润的增加。锌锭进口窗口深度关闭，进口-1518元/吨，周环比下跌415元/吨。根据SMM数据，周一社库录得21.82万吨，较上周增加0.72万吨；镀锌板卷周度表需有所回升，总库存有所去化，但产量和开工率没有出现增长。镀锌管和镀锌结构件、压铸锌合金的需求表现相对较好，产量表需有增，库存去化。【核心逻辑及策略】短期贵金属面临回调压力，虽然锌锭跟随回调，但不可否认价格重心有所抬升，尚不明确抬升后的价格重心落于何处。策略：观望。
锡 0.5  小幅回落，短期趋势并不明显【盘面回顾】沪锡主力期货合约在周二随有色金属板块小幅回落，报收在25.3万元每吨。【产业表现】对国内21家冶炼厂（涉及精锡产能32万吨，总产能覆盖率97%）产量统计结果显示，2024年3月上述企业精锡总产量为15933吨，环比上涨18.9%，同比上涨2.5%（2月精锡产量修正值为13397吨）。截至2024年一季度末，国内上述样本企业精锡总产量达到4.6万吨，同比增长3.5%。3月看，开源科技检修产量下滑30%，正浩锡业新开一台电炉产量增加。由于2月春节假期月产量基数较低，因此3月产量增长比较明显。总的看，4月开源科技已正常开工生产，原矿虽呈收紧趋势但废料流通增加，预计4月精锡产量仍可保持1.6万吨水平。【核心逻辑】锡价在周二的回落跟随了整个有色金属板块，说明其自身基本面对价格的影响减弱。基本面，缅甸锡矿复产再度延后使得投资者对于缅甸方面锡矿供给信心逐渐减弱，同时需求端AI板块进一步爆发，英特尔等多家半导体领域公司发布了商业相关AI模块，利好焊锡板块需求。中游的高库存暂时似乎无法影响到锡价走强。【策略观点】卖出看跌期权。
碳酸锂 -1  走弱，但缺乏下破驱动【盘面回顾】碳酸锂主力LC2407收于108150元/吨，下跌3.78%，SMM电碳均价111500元/吨，下跌1250元/吨，工碳均价108650元/吨，下跌1000元/吨，上下游博弈继续。【产业表现】1、锂辉石CIF价格录得1140美元/吨，环比缓慢上涨，2-2.5%锂云母价格2493元/吨。3月，国内十家锂云母产量8750吨LCE，同比增60.55%，环比增45.35%，累计同比增29.91%。2、3月碳酸锂产量总计42792吨，环比增31.77%，同比增42.9%，累计同比增20.81%。其中，辉石产碳酸锂18350吨，同比增57.75%，云母产碳酸锂11100吨，同比增28.34%，盐湖产碳酸锂22.45%，同比增43.36%。利润恢复后，碳酸锂产量进一步增加，江西环保检查更多影响中小型冶炼厂产能。4月产量预计53135吨，预计环比增24.17%，云母和辉石将贡献主要增量。3、截止4月11日，SMM碳酸锂库存录得79656吨，周环比增375吨，其中下游库存增615吨至20115吨，上游盐厂增104吨至41463吨，其他环节库存去344吨至17078吨。广期所仓单库存16343吨，周度增加3641吨。4、3月磷酸铁锂产量13.7万吨，4月排产预计产量16.4万吨，增加27100吨；3月三元材料产量62681吨，4月排产增加6070吨至68760；排产量较高，反应终端需求的回升。5、根据中汽协数据，3月中国新能源汽车销量88.3万辆，1-3月累计同比增31.8%；产量为86.3万辆，1-3月累计同比增28.1%。动力电池3月装车35GWH，其中磷酸铁锂装机量23.7GWH，三元NCM装机量11.3GWH，1-3月总装机量累计同比增29.5%，磷酸铁锂累计同比增21%，三元累计同比增48.3%。【核心逻辑及策略】短期的基本面条件在10.6万元/吨提供阶段性支撑，中长期价格依然面临下行压力。短期层面，空头可适当减仓。
工业硅 1  近月承压【盘面回顾】工业硅主力合约周二收于11955元/吨，环比-1.6%。现货方面，SMM华东553报13350元/吨，环比持平；SMM华东421报13950元/吨，环比-50元/吨。【产业表现】据SMM，目前4月多晶硅企业正常生产，加上新产能投产，产量继续攀升，但受多晶硅降价影响，Q2后期恐引发硅料厂检修。【核心逻辑】展望后市，预计2405-2411合约受弱供需基本面压制，又有当前仓单处理的压力，承压确定性较大。2412及以后合约锚定光伏用工业硅供需，光伏用工业硅（99硅）产能集中西北，现西北已经开始有减产出现，多晶硅投产在2、3季度，需求后续在下半年兑现增量，当前基本面虽弱但未来存在边际转好可能，2412合约绝对方向向上的概率较大。不过考虑到多晶硅当前面临降价压力，降本驱动强，对99硅持谨慎乐观预期。此外，月间价差上近弱远强格局较为清晰。【策略观点】单边：近月合约空单持有，下方支撑看10500-11000元/吨；2412合约偏多看待，推测开盘区间13500-14000元/吨。月差套利：2412合约上市后关注反套建立机会。
螺纹 0.3  关注节前补库节奏【盘面信息】主力合约3600附近震荡【信息整理】中国2024年第一季度国民经济实现良好开局。据国家统计局初步核算，一季度国内生产总值296299亿元，按不变价格计算，同比增长5.3%，环比增长1.6%；全国规模以上工业增加值同比增长6.1%；就业形势总体稳定，全国城镇调查失业率平均值为5.2%，同比下降0.3个百分点。【南华观点】近期建材刚需与投机性需求均有所增加，去库呈现加速，长流程钢厂因前期原料端让利，利润有所改善，铁水也较废钢具备性价比，铁水产量出现企稳回升，市场交易钢厂复产原料补库，原料推涨成材。但是考虑到成材需求在二季度或改善有限，不及去年同期水平，这一方面限制成材价格进一步向上驱动，另一方面代表这将限制钢厂复产的幅度，原料供应铁矿端仍然面临过剩压力。综上所述，短期在交易钢厂复产原料补库下，盘面呈现反弹，但是受限于需求端承接或有限，盘面上涨高度有限，螺纹10合约关注3650-3700压力位。
热卷 0  产能过剩压低估值【盘面信息】热卷10合约冲高回落，40日均线处有压力。【信息汇总】根据国家统计局，3月份，钢材12337万吨，同比增长0.1%；黑色金属冶炼和压延加工业的产能利用率为77.3%【南华观点】热卷基本面微幅改善。产量和需求皆下降，产量下降幅度大于需求下降幅度。库存在季节性高位，去库速度远不及往年同期。价格回升后，产量仍有增加的预期，但需求新增的点较为乏力。价格上涨主要靠成本推动来驱动。此外热卷高供应和螺纹低供应将压制卷螺差扩张。目前继续做空缺乏新的驱动，继续上涨将有供给增量和库存压制。预计热卷价格在黑色中涨幅靠后，在对冲中适合作为空配对待。单边上目前没有很好的机会，建议观望。
硅铁 1  成本上涨【盘面动态】今日早盘双硅震荡运行，日盘小幅拉涨。【信息整理】1.本周沿海港口进口锰矿库存：钦州港129.7万减9.1万吨。钦州港分矿种变化：澳矿41.9减1.1，南非矿55.3减3.6，加蓬矿23.2减4.2，巴西7.2减0.2，马来矿2.1平，科特迪瓦0平，其他0平。2.内蒙古化工焦1455元/吨，环比上涨120元/吨。【南华观点】
废钢 0  到货缓慢回升【现货价格】16日全国富宝不含税废钢综合价格指数为2521元/吨，较上日涨4.1。【信息整理】昨日255家钢厂废钢到货量为43.44万吨（+0.98），近几天钢厂和基地到货量有所回升。【南华观点】废钢基本面近期呈现供需双弱，但是由于废钢上方资源收紧，上中游悟货惜售情绪也较浓，废钢到货不及日耗，钢厂废钢库存一直下滑，钢厂对于废钢有较强的补库需求，加上近期黑色盘面在宏观交易”再通胀“预期和钢厂复产补库预期下呈现强势反弹，废钢近期也迎来上涨。但是考虑到成材需求改善或有限，盘面上涨驱动不足，废钢在黑色中估值较高，进一步上涨压力较大。综上所述，废钢在供给偏紧以及钢厂补库需求下具有强支撑，但是在估值偏高下进一步上涨空间较为有限，预计本周废钢偏稳运行。
